,dist_kilometers,vendor_code
50609,3.338,79
20758,2.692,66
71938,0.112,97
21704,1.776,97
3447,4.427,21
63921,3.875,97
42731,1.556,80
33899,0.062,97
83825,15.681,0
13841,2.197,97
6711,12.629,71
37761,6.039,105
34377,0.033,39
66101,0.396,97
28974,3.364,97
82195,16.049,0
38698,7.104,81
70857,18.163,42
69408,3.597,64
16432,7.316,97
80718,0.9,97
70896,2.146,67
21703,16.769,0
75179,2.604,0
78488,2.513,0
61701,10.717,10
29135,3.64,58
37756,1.793,75
50018,3.971,105
38671,2.559,97
68151,5.553,80
42169,0.054,115
89263,0.055,71
48016,2.622,106
52823,8.63,71
67623,0.081,80
34293,0.074,0
56905,0.094,39
85685,4.166,97
81089,2.175,97
8542,3.811,117
85630,5.918,71
73036,0.039,71
2025,0.048,66
47615,12.119,81
9009,10.686,0
37172,7.825,42
11002,0.068,97
29611,15.329,45
34767,1.325,97
18198,0.214,71
6237,2.746,97
79926,1.437,97
16039,0.933,81
53773,4.223,71
31823,2.789,71
72494,8.895,0
78821,7.643,97
41980,4.537,71
54584,4.625,0
66296,4.449,89
18494,4.697,97
44900,3.346,80
42942,3.001,97
79962,4.639,58
20132,3.553,97
22684,3.547,97
83837,6.902,64
44158,2.331,80
61003,4.635,0
77573,7.475,85
50308,5.926,0
38305,6.335,66
53812,0.839,97
4001,0.716,22
89482,5.099,97
57526,2.713,0
959,9.881,0
18184,3.993,10
31900,0.936,80
24194,0.118,38
90006,3.987,97
81783,4.703,64
42285,4.596,97
29342,2.046,80
46436,4.428,80
19514,7.075,97
57761,1.843,71
57625,0.033,68
45255,1.776,81
16036,0.024,21
79512,0.042,0
21799,5.055,92
65829,4.473,0
1493,8.935,105
23358,6.128,79
70287,17.211,99
58062,11.025,71
24188,10.433,71
16307,13.374,117
85418,0.026,39
80231,2.127,64
24592,6.5,0
23643,2.907,97
63143,6.874,81
63952,3.717,97
39699,4.956,80
267,4.961,71
41624,4.907,0
66793,1.492,97
69937,3.333,64
61044,11.25,97
48864,5.691,97
41561,2.454,0
10240,0.041,135
2554,3.897,97
81118,3.15,80
42478,7.994,71
19540,2.234,10
33663,3.566,64
38753,7.716,80
53615,1.714,97
62319,8.263,0
77541,2.035,97
8397,5.809,71
53600,18.61,71
36930,5.968,97
79925,4.757,71
18644,3.787,97
41277,0.087,97
27965,10.459,71
40204,9.015,97
22720,2.236,97
19919,4.714,97
32880,3.06,80
30889,10.617,1
63987,1.881,68
76593,8.785,3
78158,4.637,97
8752,7.112,71
53679,6.089,97
22248,3.307,64
58874,2.577,39
2942,0.046,80
75117,2.011,64
84345,6.163,80
28933,2.192,80
59862,0.189,72
51264,4.756,0
81643,4.592,97
56651,5.36,9
40933,3.276,0
794,4.967,2
74432,2.716,71
82794,6.388,97
54202,4.184,97
12974,12.413,97
36706,3.969,105
49582,12.208,97
17149,2.529,7
19070,2.01,10
7141,0.534,66
24761,1.011,39
6332,1.819,97
74136,0.024,63
14599,7.086,64
80977,4.326,97
48399,16.168,10
37768,2.841,105
28202,2.211,71
86235,2.608,71
25278,14.292,71
49854,1.555,97
48056,7.192,38
40191,9.384,0
90133,12.649,97
24716,4.682,97
62701,4.361,80
67981,2.174,97
78869,4.433,80
71586,5.732,97
55218,10.904,81
38660,2.804,97
67439,9.052,97
16851,6.229,8
29168,2.608,80
85335,1.777,97
36396,2.772,97
65652,7.739,0
43070,7.285,93
14930,11.336,39
74418,6.345,97
22547,7.98,97
85131,2.781,97
4458,6.478,64
68111,5.664,80
84483,7.353,97
35659,3.071,97
38209,2.312,97
19963,8.051,97
59735,3.25,97
72559,2.308,80
44763,1.576,64
15496,6.106,64
5427,2.193,0
31384,3.196,97
56077,6.822,0
75807,6.691,97
12458,9.569,97
158,0.602,80
89465,3.673,61
7802,7.376,0
67390,12.748,71
86594,2.345,71
70184,3.404,0
30894,2.545,66
80969,10.368,0
53375,13.547,79
88730,15.211,0
12125,8.42,97
54185,3.114,38
76409,1.772,97
15559,4.091,71
59737,0.141,71
49991,0.059,80
51023,0.033,10
55859,9.719,0
65135,0.027,97
64279,4.321,97
34248,0.328,81
89208,4.094,0
10142,12.449,71
31611,2.892,97
21535,9.016,97
42880,0.071,97
71981,5.464,71
71106,3.781,97
13651,6.179,1
80804,1.864,97
87488,7.894,71
69669,5.206,71
6385,1.602,71
86840,18.147,97
73024,4.814,81
21409,6.576,0
15828,5.393,97
64528,11.686,43
30794,0.027,97
28530,5.731,48
47328,9.634,97
53089,6.748,31
48943,10.157,97
19677,4.126,97
22734,0.818,0
47741,1.67,97
49720,13.546,0
41629,4.057,71
70697,0.343,81
77556,7.012,97
81443,2.864,134
82616,1.381,81
58675,0.229,97
59518,2.593,97
73157,2.967,80
89410,7.039,97
19337,0.217,84
54906,1.306,71
52307,0.288,39
28155,2.124,71
48684,3.041,81
33474,0.093,97
43130,3.342,71
18919,0.572,80
40893,6.304,71
39880,6.03,71
89549,1.981,97
30549,0.159,66
18671,3.073,10
72406,2.8,97
72926,1.213,97
57586,3.975,97
84821,3.456,97
67085,1.783,80
48292,14.618,97
61223,4.566,52
71404,0.052,79
44890,0.021,97
72265,4.516,71
48581,0.112,0
73687,0.034,97
33354,3.123,120
1041,1.35,97
51239,6.525,97
8660,1.293,64
28248,3.243,71
77651,6.406,66
3948,3.367,79
57908,14.302,97
14656,11.777,97
23815,0.772,64
57250,1.502,97
38392,14.553,79
50962,3.136,97
46546,7.811,97
54882,4.234,97
79596,5.09,97
49508,5.985,97
72081,1.891,0
44430,0.644,97
81206,3.361,97
36286,12.602,97
38115,5.608,97
63094,5.119,97
32117,6.911,0
24123,6.564,97
10426,2.654,97
52133,10.298,97
9006,0.088,80
61981,5.096,71
44721,8.82,115
47968,3.447,108
78136,0.928,49
51696,3.583,0
40476,3.689,97
29923,2.549,97
70389,11.162,97
36229,5.115,97
5060,13.728,71
64531,12.394,81
38204,4.689,86
40844,3.404,97
11275,0.049,80
26949,2.045,97
31768,10.222,97
38321,8.027,66
88057,5.162,71
17640,1.495,97
33251,7.918,97
16047,1.305,97
35727,0.025,97
51430,6.332,9
25226,2.455,97
87134,12.971,52
85827,0.118,97
48753,6.321,80
19440,4.316,97
81926,0.247,80
73762,3.702,97
7569,6.155,0
25236,3.843,97
75224,1.26,97
86265,5.15,0
29123,3.769,80
13346,3.47,83
72972,9.404,97
47093,8.783,97
67253,6.266,1
32370,3.378,97
39974,0.041,71
42955,8.574,97
50105,4.14,63
72113,12.326,0
51038,10.189,71
18114,2.702,97
61851,5.103,0
42704,0.115,66
76820,15.14,97
58261,0.759,97
25464,7.388,97
57294,10.021,71
32400,0.959,80
17552,18.338,97
38611,1.892,64
37835,3.612,97
34535,8.802,97
65434,4.403,80
78666,1.658,97
32865,4.293,97
23129,0.494,105
53112,4.703,97
11562,3.244,97
12648,0.101,80
25003,2.744,97
21376,2.426,79
35913,2.208,97
59647,7.852,66
26572,7.338,0
1138,3.233,0
27424,1.124,39
66543,10.546,97
65192,7.534,71
15450,13.084,13
34272,5.107,71
57343,1.316,117
72112,8.632,97
43041,8.205,97
82815,2.728,80
63941,3.611,0
63857,8.947,71
70251,6.047,97
41285,1.984,97
32275,4.41,80
32105,4.887,108
29348,2.141,80
66410,0.083,97
52162,7.623,97
39362,0.507,81
9596,3.428,86
33636,7.199,71
